,title,dept_num,description,credits,instructor,syllabus,university,term,keyword,URL,new
1789,Legal Philosophy Meets the Israeli Legal System,336,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,system
1798,Tribal Legal Systems,528,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,system
1801,Political Crimes and Legal Systems,558,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,system
1812,"Race, Social Psychology, And The Legal Process",690,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,process
1838,Public Law and Judicial Process: Anglo-American Legal System,145A,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Evolution of English common law courts and their legal system, with emphasis on development of basic concepts of law which were received from that system in U.S. and remain relevant today. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,legal,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=legal&funsel=1,process
1844,Public Law and Judicial Process: Constitutional Law--Civil Liberties,145C,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Protection of civil and political rights and liberties under constitution. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,libert,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=libert&funsel=1,process
1863,Analysis of Categorical and Other Nonnormal Data,231C,"Lecture, four hours. Requisites: courses 230B, 230C. Regression analysis with dichotomous and polytomous dependent variables, log-linear modeling, coefficients of association for categorical variables, factor analysis, and structural equation modeling. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,norm,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=norm&funsel=1,data
1882,Aesthetic and Philosophical Foundations in Systematic Musicology,C178,"Seminar, three hours; outside study, nine hours. Limited to Ethnomusicology majors. Comprehensive overview of critical approaches to aesthetics in systematic musicology. Exploration of aesthetics and philosophy of music, sociology of music, critical theory, hermeneutics, and music criticism. Concurrently scheduled with course C204. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,philosoph,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=philosoph&funsel=1,system
1883,Aesthetic and Philosophical Foundations in Systematic Musicology,C204,"Seminar, three hours; outside study, nine hours. Limited to Ethnomusicology majors. Comprehensive overview of critical approaches to aesthetics in systematic musicology. Exploration of aesthetics and philosophy of music, sociology of music, critical theory, hermeneutics, and music criticism. Concurrently scheduled with course C178. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,philosoph,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=philosoph&funsel=1,system
1900,Legal Philosophy Meets the Israeli Legal System,336,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,philosoph,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=philosoph&funsel=1,system
2065,"Youth Culture and MTV: Technology, History, Politics",98TA,"Seminar, three hours. Requisite: satisfaction of Entry-Level Writing requirement. Freshmen/sophomores preferred. Examination of historical development of MTV as cultural force in production and distribution of music programming. Interrogation of how MTV responded to shifts in taste of youth audiences across its almost four-decade history. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polit,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polit&funsel=1,technolog
2122,Political Crimes and Legal Systems,558,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polit,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polit&funsel=1,system
2191,Studies in Statistical Analysis of Political Data,170A,"Lecture, three or four hours; discussion, one hour (when scheduled). Enforced requisite: course 6 or 6R. Designed for juniors/seniors. Use of statistical methods to interpret data and test theories from various fields in political science and use of quantitative evidence in construction of convincing and truthful arguments related to world of politics. Consult Schedule of Classes for topics to be offered in specific term. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polit,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polit&funsel=1,data
2242,Political Change in Communist Systems  ,253,"Discussion, three hours. Examination of political context and consequences of structural reform in Communist systems; theories of post-Leninist political pluralization and convergence.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polit,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polit&funsel=1,system
2250,Survey Course in American Politics: Political Parties and Electoral Process,260A,"Discussion, three hours. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polit,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polit&funsel=1,process
2282,American Political Institutions and Processes,202,"Lecture, three hours; outside study, nine hours. Designed to provide background necessary to develop strategies for dealing effectively with political environment of policy and administration. Discussion of U.S. constitutional arrangements, followed by instrumental and integrative examination of primary institutions of politics and governance from organized interests to legislatures, bureaucracies, and courts. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,polit,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=polit&funsel=1,process
2315,Introduction to Power Systems,112,"(Formerly numbered Electrical Engineering 112.) Lecture, four hours; discussion, one hour; outside study, seven hours. Enforced requisite: course 110. Complete overview of organization and operation of interconnected power systems. Development of appropriate models for interconnected power systems and learning how to perform power flow, economic dispatch, and short circuit analysis. Introduction to power system transient dynamics. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,power,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=power&funsel=1,system
2321,Information and Power,10,"Lecture, five hours. Designed for undergraduate students. Introduction to core concepts of information and power and relation between them in range of social, economic, political, cultural, technological, and institutional contexts. Topics include information markets and economies; power of cultural and media institutions; state interests in information; information, conflict, and warfare; information organization, classification, and access; power and information technology infrastructure; and intellectual freedom. Letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,power,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=power&funsel=1,inform
2331,Public Law and Judicial Process: Constitutional Law--Separation of Powers,145B,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Constitutional questions concerning separation of powers, federalism, and relationship between government and property. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,power,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=power&funsel=1,process
2339,Privacy versus National Security,165,"Seminar, four hours. Designed for College Honors students. Edward Snowdon's disclosures of extent of government surveillance conducted by National Security Agency sparked national debate about scope and necessity of government surveillance programs. What is proper balance between privacy and national security in information age? Study of debate about constitutional values and moral responsibility, complicated by public fear, competing commercial interests, and international legal and diplomatic quandaries. P/NP or letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,privac,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=privac&funsel=1,
2340,"Privacy, Data and Technology",483,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,privac,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=privac&funsel=1,data
2360,Systems Biology: Intracellular Network Identification and Analysis,246,"Lecture, four hours; outside study, eight hours. Requisites: course CM245, Life Sciences 1, 2, 3, 4, 23L, Mathematics 31A, 31B, 32A, 33B. Systems approach to intracellular network identification and analysis. Transcriptional regulatory networks, protein networks, and metabolic networks. Data from genome sequencing, large-scale expression analysis, and other high-throughput techniques provide bases for systems identification and analysis. Discussion of gene-metabolic network synthesis. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,race,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=race&funsel=1,system
2361,Seminar: Research in Biochemistry--Information Processing in Intracellular and Intercellular Signaling Networks,256Z,"Seminar, three hours. Advanced study and analysis of current topics in biochemistry. Discussion of current research and literature in research specialty of faculty member teaching course. S/U grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,race,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=race&funsel=1,inform
2407,"Race, Social Psychology, And The Legal Process",690,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,race,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=race&funsel=1,process
2482,Religious Legal Systems: Jewish Law,335,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,religi,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=religi&funsel=1,system
2527,Response and Design of Reinforced Concrete Structural Systems,243B,"Lecture, four hours; discussion, two hours; outside study, six hours. Requisites: courses 243A, 246. Information on response and behavior of reinforced concrete buildings to earthquake ground motions. Topics include use of elastic and inelastic response spectra, role of strength, stiffness, and ductility in design, use of prescriptive versus performance-based design methodologies, and application of elastic and inelastic analysis techniques for new and existing construction. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,respons,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=respons&funsel=1,system
2613,Public Law and Judicial Process: Constitutional Law--Rights of Accused,145E,"Lecture, three or four hours; discussion, one hour (when scheduled). Requisite: course 40. Designed for juniors/seniors. Constitutional rights of persons suspected, accused, and convicted of crimes, with attention to how protections have changed through history. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,right,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=right&funsel=1,process
2628,National Security Affairs/Preparation for Active Duty,140A,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2629,National Security Affairs/Preparation for Active Duty,140B,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2630,National Security Affairs/Preparation for Active Duty,140C,"Lecture, three hours. Requisites: courses 1A, 1B, 1C, 20A, 20B, 20C. Study of national security processes, regional studies, advanced leadership ethics, and Air Force doctrine. Special topics focus on military as profession, officership, military justice, civilian control of military, preparation for active duty, and current issues affecting military professionalism. Within this structure, continued emphasis on refining communication skills. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2631,Hunger and Food Insecurity as Public Health Issues,233,"Lecture, three hours. Designed for graduate students. Public health aspects of hunger and food insecurity in historical and international perspectives, including measurement and identification of vulnerability, prevention, and options for relieving acute food shortage. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2632,Public Health and National Security at U.S.-Mexico Border,440,"Lecture, two hours; discussion, one hour; research and literature review, one hour. Designed for graduate students. Exploration of community and environmental health and health services issues that are present along U.S.-Mexico and coastal California borders. Integrated within public health framework are issues and mitigation of national security and disaster/terrorist risks and hazards. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2633,Introduction to Computer Security,136,"Lecture, four hours; discussion, two hours; outside study, six hours. Enforced requisite: course 118. Introduction to basic concepts of information security necessary for students to understand risks and mitigations associated with protection of systems and data. Topics include security models and architectures, security threats and risk analysis, access control and authentication/authorization, cryptography, network security, secure application design, and ethics and law. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,comput
2634,Computer Security,236,"Lecture, four hours; outside study, eight hours. Requisites: courses 111, 118. Basic and research material on computer security. Topics include basic principles and goals of computer security, common security tools, use of cryptographic protocols for security, security tools (firewalls, virtual private networks, honeypots), virus and worm protection, security assurance and testing, design of secure programs, privacy, applying security principles to realistic problems, and new and emerging threats and security tools. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,comput
2635,Seminar: Practical Aspects of Biosafety and Biosecurity,213,"Seminar/discussion, two hours. Preparation: one year of introductory biology. Recommended requisite: Microbiology 101 or 102. Designed for environmental health sciences graduate students and students in UCLA Biosafety Training Program. Interactive seminar with focus on critical concepts in and practical aspects of biosafety, biosecurity, risk assessment, and risk management that are needed for individuals wishing to serve as interns in UCLA biosafety program and/or become biosafety professionals. S/U or letter grading.",Units: 2,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2636,Human Security and Environmental Change,258,"(Formerly numbered 228.) Seminar, three hours. Discussion of impact of environmental change on food, water, and physical security of human populations and societies' adaptations to environmental change. Topics vary from year to year. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2637,Privacy versus National Security,165,"Seminar, four hours. Designed for College Honors students. Edward Snowdon's disclosures of extent of government surveillance conducted by National Security Agency sparked national debate about scope and necessity of government surveillance programs. What is proper balance between privacy and national security in information age? Study of debate about constitutional values and moral responsibility, complicated by public fear, competing commercial interests, and international legal and diplomatic quandaries. P/NP or letter grading.",Units: 5,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2638,Cybersecurity Law and Policy,232,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,cyber
2639,Securities Regulation,236,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2640,Secured Transactions,250,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2641,National Security Law,269,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2642,Corporate Finance: Securities Markets and Corporate Value,447,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2643,Corporate Law & Securities Regulations,506,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2644,National Security and Civil Liberties,571,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2645,Regulation of the Securities Market Structure,605,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2646,Secured Financing Transactions,745,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2647,Strategizing Secured Transactions,761,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2648,Securities Litigation and Enforcement,943,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2649,"Real Estate Economics, Capital Markets, and Securitization",279C,"Lecture, three hours. Exploration of linkages between real estate, macroeconomy, and capital markets. New insights as to structure and practice of macroeconomic regulation, crisis policy formulation, and related capital markets and real estate outcomes. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2650,Arms Control and International Security  ,125A,"Lecture, three or four hours; discussion, one hour (when scheduled). Designed for juniors/seniors. Arms control in context of international security in nuclear age. Nuclear arms race; relationship between deterrence doctrines and nuclear war; roles of technology and ideology; nuclear proliferation; outer space. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2651,"Workshop: National Security, Foreign Policy, and International Relations",234A,"Discussion, two hours. Course 234A is requisite to 234B, which is requisite to 234C. Courses must be taken in sequence. Open to graduate students who have successfully completed major examinations and intended for students preparing for or working on dissertations. Reading and discussion of research in progress presented by UCLA faculty, visiting scholars, and advanced graduate students. Major research paper required. In Progress grading (credit to be given only on completion of courses 234B and 234C).",Units: 0,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2652,"Workshop: National Security, Foreign Policy, and International Relations",234B,"Discussion, two hours. Requisite: course 234A. Courses must be taken in sequence. Open to graduate students who have successfully completed major examinations and intended for students preparing for or working on dissertations. Reading and discussion of research in progress presented by UCLA faculty, visiting scholars, and advanced graduate students. Major research paper required. In Progress grading (credit to be given only on completion of course 234C).",Units: 0,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2653,"Workshop: National Security, Foreign Policy, and International Relations",234C,"Discussion, two hours. Requisite: course 234B. Courses must be taken in sequence. Open to graduate students who have successfully completed major examinations and intended for students preparing for or working on dissertations. Reading and discussion of research in progress presented by UCLA faculty, visiting scholars, and advanced graduate students. Major research paper required. Letter grading.",Units: 12,Not Listed,Not Listed,University of California - Los Angeles,2019-20,secur,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=secur&funsel=1,
2659,Study of Social Systems,140,"(Formerly numbered 150.) Lecture, three hours; discussion, one hour (when scheduled). Enforced requisite: course 3. Introduction to more specialized social anthropology courses. Evaluation of variation in sociocultural systems, with special emphasis on forms of inequality. Basic frameworks of anthropological analysis; historical context and development of social anthropology discipline. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,system
2697,Social Communication and New Technology,154,"(Formerly numbered Communication Studies 154.) Lecture, four hours. Internet's digital core was designed for military command. Yet emerging network was gradually co-opted to perform communicative functions such as gossip, dating, news, entertainment, and trade. Exploration of history, social effects, and possible futures of digital communication. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,technolog
2748,"Science, Technology, and Social Research after Eurocentrism",274,"Lecture, four hours. Philosophy of natural sciences for social scientists that examines challenges to conventional research assumptions raised by multicultural and postcolonial science and technology studies that have emerged since World War II. Focus on sciences and technologies in third-world development projects, comparative ethnoscience movements, and new theories of knowledge and how to do maximally objective research emerging from these literatures. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,technolog
2754,Large Scale Social and Complex Networks: Design and Algorithms,232E,"(Formerly numbered Electrical Engineering 232E.) Lecture, four hours; recitation, one hour; outside study, seven hours. Modeling and design of large-scale complex networks, including social networks, peer-to-peer file-sharing networks, World Wide Web, and gene networks. Modeling of characteristic topological features of complex networks, such as power laws and percolation threshold. Mining topology to design algorithms for various applications, such as e-mail spam detection, friendship recommendations, viral popularity, and epidemics. Introduction to network algorithms, computational complexity, and nondeterministic, polynomial-time completeness. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,algorithm
2767,Problems in Geography: Spatial Demography and Social Processes in Cities,159B,"Discussion, three hours; reading period, one hour. Preparation: completion of three courses in one concentration. Limited to seniors. Seminar course in which students carry out intensive research projects developed from courses within one concentration. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,process
2793,Social Science Research Methodology for Information Studies,280,"Lecture, four hours. Understanding of nature, uses, and practice of research appropriate to information studies. Identification of research problems and design and evaluation of research. Social science quantitative and qualitative methods. Emphasis on inquiry methodology and empirical research. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,inform
2827,"Race, Social Psychology, And The Legal Process",690,No description available.,Units: 1,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,process
2847,Introduction to Computing for Social Sciences and Humanities,3,"Lecture, three hours; discussion, two hours. No prior programming knowledge required. Not open for credit to students pursuing specializations in Computing or to students with credit for course 20A. Basic principles of object-oriented programming and concepts, with applications from social sciences and humanities. Overview of Java programming language, programming with objects, control structures and functions, classes and object-oriented design, event-driven programming, application to multiagent models. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,comput
2893,Quantitative Data Analysis in Social Science,402,"Lecture, two and one half hours; discussion, one hour. Introduction to fundamentals of data analysis and statistics, focusing on application of statistical methods in social problems research. Students develop skills and strategies for evaluating research evidence, and for comparing and synthesizing results of studies that adopt different research methodologies. Descriptive statistics, inferential statistics, probability, statistical tests, correlation, and causation, and regression analysis. Other topics include organizing quantitative data (e.g., tables, graphs), methods for describing data with respect to central tendency, dispersion, and association. At course end students should be able to perform data analysis using appropriate software, to interpret results, and to make critical evaluations of quantitative social science research. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,data
2901,Introduction to Social Welfare: Policies and Programs,100A,"Lecture, four hours. Origin and development of major U.S. social welfare programs and policies guiding them, with emphasis on analysis of policy developments/issues related to provision of social welfare services. Study of historical and current responses of profession to major social problems. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,program
2904,Social Welfare Organizations and Community Systems,102,"Lecture, four hours. Recommended requisites: courses 100A, 100B. Detailed demonstration of implementation of policy via functioning of human service organizations. Examination of organizational structures/functions. Exploration of characteristics and organization of community and forces that influence its development and change. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,system
2968,"Social and Historical Study of Information, Software, and Networks",131,"Lecture, three hours. Introduction to critical study of information technology, software, and networks. Thematic focus on history of software, operating systems and networks, free/open source software, standards, intellectual property, and telecommunications regulation. Theoretical focus on publics and public spheres, network theories, and theories of information society. Particular attention to relationship of information technology to scientific and engineering practices and life sciences. Letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,inform
2974,Statistical and Computer Methods for Social Research,113,"Lecture, three hours; laboratory, one hour. Requisite: Statistics 10. Continuation of Statistics 10, covering more advanced statistical techniques such as multiple regression, analysis of variance, or factor analysis. Content varies. Students learn how to use computer and write papers analyzing prepared data sets. P/NP or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,comput
2984,Machine Learning for Social Scientists,208C,"Lecture, three hours. Requisites: courses 210A, 210B, or consent of instructor. Conceptual, mathematical, and computational foundations of machine learning, with special focus on social science applications. Survey of supervised and unsupervised methods, including Naïve Bayes, k-means, logistic regression, decision trees (classification and regression), topic models, and neural networks. Practicalities of implementation on range of data types. S/U or letter grading.",Units: 4,Not Listed,Not Listed,University of California - Los Angeles,2019-20,social,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=social&funsel=1,machin
3035,Biotechnology and Society,M71A,"(Formerly numbered General Education Clusters M71A.) (Same as Society and Genetics M71A.) Lecture, three hours; discussion, two hours. Course M71A is enforced requisite to M71B, which is enforced requisite to M71CW. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3036,Biotechnology and Society,M71B,"(Formerly numbered General Education Clusters M71B.) (Same as Society and Genetics M71B.) Lecture, three hours; discussion, two hours. Enforced requisite: course M71A. Limited to first-year freshmen. Exploration of methods, applications, and implications of biotechnology and of ethical, social, and political implications as well as biological underpinnings. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
3037,Biotechnology and Society: Special Topics,M71CW,"(Formerly numbered General Education Clusters M71CW.) (Same as Society and Genetics M71CW.) Seminar, three hours. Enforced requisite: course M71B. Limited to first-year freshmen. Topics include in-depth examination of ethics and human genetics, bioweapons and biodefense, sex and biotechnology. Satisfies Writing II requirement. Letter grading.",Units: 6,Not Listed,Not Listed,University of California - Los Angeles,2019-20,societ,https://www.registrar.ucla.edu/Academics/Course-Descriptions/Course-Details?qry=societ&funsel=1,technolog
